Code;Tipo;Especie;Region;River;Sr;Ba;Iso
JMiNAC01;Juvenil;A.fallax;Galicia;Minho;0,986989376;19,138636;0,715113101
JMiNAC02;Juvenil;A.fallax;Galicia;Minho;1,110049229;25,59850393;0,714968233
JMiNAC03;Juvenil;A.fallax;Galicia;Minho;1,223977073;12,58106559;
JMiNAC04;Juvenil;A.fallax;Galicia;Minho;0,94236434;17,86234448;0,715360558
JMiNAC05;Juvenil;A.fallax;Galicia;Minho;1,108295432;17,89727594;0,715534811
JMiNAC06;Juvenil;A.fallax;Galicia;Minho;0,909447395;30,11997052;0,71534445
JMiNAC07;Juvenil;A.fallax;Galicia;Minho;0,884511116;18,25883349;0,715120837
JMiNAC08;Juvenil;A.fallax;Galicia;Minho;1,159192666;19,03089577;
JMiNAC09;Juvenil;A.fallax;Galicia;Minho;0,839808681;15,2546378;
JMiNAC10;Juvenil;A.fallax;Galicia;Minho;1,349677215;18,86342364;
JMiNAC11;Juvenil;A.fallax;Galicia;Minho;1,495448989;22,51215136;
JMiNAC12;Juvenil;A.fallax;Galicia;Minho;1,193784389;21,50708034;
JMiNAC13;Juvenil;A.fallax;Galicia;Minho;1,226168846;17,30114507;
JMiNAC14;Juvenil;A.fallax;Galicia;Minho;0,861553327;14,25913508;
JMiNAC15;Juvenil;A.fallax;Galicia;Minho;1,24871227;16,68519516;
JMiNAC16;Juvenil;A.fallax;Galicia;Minho;1,310567181;21,82291577;
JMiNAC17;Juvenil;A.fallax;Galicia;Minho;1,134078304;15,94920278;
JMiNAC18;Juvenil;A.fallax;Galicia;Minho;1,304116407;12,95237565;
JMiNAC19;Juvenil;A.fallax;Galicia;Minho;1,184064625;15,45628369;
JMiNAC20;Juvenil;A.fallax;Galicia;Minho;1,149588794;18,13919938;
JMiNAC21;Juvenil;A.fallax;Galicia;Minho;1,169332425;16,5821714;
JMiNAC22;Juvenil;A.fallax;Galicia;Minho;1,220393233;14,5286487;
JMiNAC23;Juvenil;A.fallax;Galicia;Minho;1,294099705;20,79443749;
JMiNAC24;Juvenil;A.fallax;Galicia;Minho;0,930172021;14,79190847;
JMiNAC25;Juvenil;A.fallax;Galicia;Minho;1,091199567;13,50500084;
JMiNAC26;Juvenil;A.fallax;Galicia;Minho;1,263418732;15,15279233;
JMiNAC27;Juvenil;A.fallax;Galicia;Minho;1,131343031;16,86710956;
JMiNAC28;Juvenil;A.fallax;Galicia;Minho;1,618236388;11,11385634;
JUlNAC01;Juvenil;A.fallax;Galicia;Ulla;1,619473216;20,15959448;
JUlNAC02;Juvenil;A.fallax;Galicia;Ulla;1,445979705;20,32368122;
JUlNAC03;Juvenil;A.fallax;Galicia;Ulla;1,666333071;21,28154549;
JUlNAC04;Juvenil;A.fallax;Galicia;Ulla;1,334069011;25,68221316;
JUlNAC05;Juvenil;A.fallax;Galicia;Ulla;1,494161404;24,72348801;
JUlNAC06;Juvenil;A.fallax;Galicia;Ulla;1,708200529;29,71016048;
JUlNAC07;Juvenil;A.fallax;Galicia;Ulla;1,462714535;22,44143599;
JUlNAC08;Juvenil;A.fallax;Galicia;Ulla;1,389647379;26,47709185;
JUlNAC09;Juvenil;A.fallax;Galicia;Ulla;1,455952932;34,21886686;
JUlNAC10;Juvenil;A.fallax;Galicia;Ulla;1,36130773;24,549059;
JUlNAC11;Juvenil;A.fallax;Galicia;Ulla;1,727163548;23,36598845;
JUlNAC12;Juvenil;A.fallax;Galicia;Ulla;1,522819056;27,79927521;0,714830733
JUlNAC13;Juvenil;A.fallax;Galicia;Ulla;1,590569207;26,60939175;
JUlNAC14;Juvenil;A.fallax;Galicia;Ulla;1,781556078;25,3762818;
JUlNAC15;Juvenil;A.fallax;Galicia;Ulla;1,536156728;21,53118162;
JUlNAC16;Juvenil;A.fallax;Galicia;Ulla;1,598937511;21,81636211;
JUlNAC17;Juvenil;A.fallax;Galicia;Ulla;1,60379657;15,94262812;
JUlNAC18;Juvenil;A.fallax;Galicia;Ulla;1,980145557;22,57866121;
JUlNAC19;Juvenil;A.fallax;Galicia;Ulla;1,574307236;16,81041869;
JUlNAC20;Juvenil;A.fallax;Galicia;Ulla;1,532626592;20,60411151;
JUlNAC21;Juvenil;A.fallax;Galicia;Ulla;1,524154785;22,04036371;
JUlNAC22;Juvenil;A.fallax;Galicia;Ulla;1,544815499;25,006218;
JUlNAC23;Juvenil;A.fallax;Galicia;Ulla;1,512187332;24,64423497;
JUlNAC24;Juvenil;A.fallax;Galicia;Ulla;1,699547481;25,51068842;
JUlNAC25;Juvenil;A.fallax;Galicia;Ulla;1,298111514;15,76681767;
JUlNAC26;Juvenil;A.fallax;Galicia;Ulla;1,58799427;22,86597175;0,714527307
